run,step,loss,bal,dt_ms,tok_sec,bf16_mfu
moe_bf16_experts_static_long,324,3.568884,24.0401,496.53,1055901,12.78
moe_bf16_experts_static_long,325,3.564391,24.1049,547.72,957224,11.58
moe_bf16_experts_static_long,326,3.55094,24.1042,467.72,1120952,13.56
moe_bf16_experts_static_long,327,3.547072,24.0348,483.01,1085454,13.13
moe_bf16_experts_static_long,328,3.537432,24.1046,461.11,1137010,13.76
moe_bf16_experts_static_long,329,3.516881,24.0277,473.91,1106312,13.39
moe_bf16_experts_static_long,330,3.519797,24.0298,469.87,1115808,13.5
moe_bf16_experts_static_long,331,3.514484,24.0584,475.84,1101810,13.33
moe_bf16_experts_static_long,332,3.515501,24.1556,457.62,1145688,13.86
moe_bf16_experts_static_long,333,3.515991,24.0883,460.05,1139634,13.79
moe_bf16_experts_static_long,334,3.521606,24.0292,466.92,1122852,13.59
moe_bf16_experts_static_long,335,3.510684,24.0368,450.68,1163322,14.08
moe_bf16_experts_static_long,336,3.51736,24.0525,473.18,1107998,13.41
moe_bf16_experts_static_long,337,3.523946,24.0232,473.7,1106788,13.39
moe_bf16_experts_static_long,338,3.532331,24.1057,479.28,1093905,13.24
moe_bf16_experts_static_long,339,3.533347,24.0279,562.04,932836,11.29
moe_bf16_experts_static_long,340,3.524076,24.0771,511.5,1025002,12.4
moe_bf16_experts_static_long,341,3.516757,24.0466,547.13,958251,11.6
moe_bf16_experts_static_long,342,3.521824,24.054,490.36,1069182,12.94
moe_bf16_experts_static_long,343,3.515018,24.0185,467.89,1120529,13.56
moe_bf16_experts_static_long,344,3.525926,24.0229,474.96,1103862,13.36
moe_bf16_experts_static_long,345,3.526656,24.0816,480.14,1091948,13.21
moe_bf16_experts_static_long,346,3.534738,24.0489,466.84,1123068,13.59
moe_bf16_experts_static_long,347,3.528308,24.1673,490.6,1068664,12.93
moe_bf16_experts_static_long,348,3.536038,24.0984,544.44,962978,11.65
moe_bf16_experts_static_long,349,3.520141,24.0549,471.88,1111051,13.44
moe_bf16_experts_static_long,350,3.529234,24.0347,513.54,1020921,12.35
moe_bf16_experts_static_long,351,3.533024,24.1176,524.22,1000134,12.1
moe_bf16_experts_static_long,352,3.543428,24.1356,503.33,1041631,12.6
moe_bf16_experts_static_long,353,3.547136,24.1106,503.87,1040525,12.59
moe_bf16_experts_static_long,354,3.532565,24.1009,452.71,1158118,14.01
moe_bf16_experts_static_long,355,3.5196,24.0831,512.43,1023136,12.38
moe_bf16_experts_static_long,356,3.517159,24.0247,536.97,976387,11.81
moe_bf16_experts_static_long,357,3.499865,24.0669,595.59,880284,10.65
moe_bf16_experts_static_long,358,3.508029,24.0569,516.13,1015800,12.29
moe_bf16_experts_static_long,359,3.52194,24.0306,484.04,1083153,13.11
moe_fp8_experts_dynamic_long_retest,0,10.397762,24.0,17145.92,30578,0.37
moe_fp8_experts_dynamic_long_retest,1,10.177083,23.9561,1895.88,276541,3.35
moe_fp8_experts_dynamic_long_retest,2,9.785479,25.4401,1622.44,323147,3.91
moe_fp8_experts_dynamic_long_retest,3,9.275371,29.3405,1436.21,365050,4.42
moe_fp8_experts_dynamic_long_retest,4,8.744844,25.699,2452.49,213777,2.59
moe_fp8_experts_dynamic_long_retest,5,8.338542,24.7774,2328.49,225162,2.72
moe_fp8_experts_dynamic_long_retest,6,8.00823,25.1326,1820.41,288005,3.49
